state,zip,latitude,longitude
OR,97027,45.378967,-122.603899
OR,97128,45.227394,-123.180863
OR,97504,42.379969,-122.858192
OR,97230,45.531759,-122.537403
OR,97302,44.921582,-123.006236
OR,97058,45.613979,-121.20996
OR,97070,45.326814,-122.770853
AZ,85323,33.459826,-112.284168
AZ,85286,33.286316,-111.791107
AZ,86404,34.54217,-114.35287
AZ,85206,33.385361,-111.695062
AZ,85201,33.434313,-111.872266
AZ,85382,33.636921,-112.253682
AZ,85014,33.509862,-112.054162
