,state,zip,latitude,longitude
167,WA,98229,48.755607,-122.454132
168,WA,98312,47.562162,-122.684286
169,WA,98148,47.458466,-122.333257
170,WA,98026,47.778229,-122.344838
171,WA,98204,47.90272981640562,-122.2469883724914
172,WA,98502,47.031067,-122.930247
173,WA,99301,46.236607,-119.128998
174,WA,98362,48.102863,-123.342273
175,WA,98371,47.207367,-122.294997
176,WA,98058,47.448354,-122.2188
177,WA,99218,47.739021,-117.409937
178,WA,99212,47.657264,-117.312518
179,WA,98409,47.21978,-122.48576
180,WA,98662,45.648094,-122.597954
181,WA,99362,46.047464,-118.353406
182,OR,97005,45.491783,-122.81107
183,OR,97701,44.055213,-121.277279
184,OR,97330,44.572608,-123.258425
185,OR,97401,44.05902085037804,-123.0813974632293
186,OR,97027,45.378967,-122.603899
187,OR,97128,45.227394,-123.180863
188,OR,97504,42.379969,-122.858192
189,OR,97230,45.531759,-122.537403
190,OR,97302,44.921582,-123.006236
191,OR,97058,45.613979,-121.20996
192,OR,97070,45.326814,-122.770853
193,AZ,85323,33.459826,-112.284168
194,AZ,85286,33.286316,-111.791107
195,AZ,86404,34.54217,-114.35287
196,AZ,85206,33.385361,-111.695062
197,AZ,85201,33.434313,-111.872266
198,AZ,85382,33.636921,-112.253682
199,AZ,85014,33.509862,-112.054162
