Zipcode,Population,Number of Households,Household Income,Poverty Count,Poverty Rate,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household
00601,17113.0,5509.0,14361.0,10552.0,61.660725764039036,3504.0,0.636050099836631,3115.0,0.565438373570521
00602,37751.0,12740.0,16807.0,18653.0,49.41061163942677,10525.0,0.826138147566719,8645.0,0.6785714285714286
00603,47081.0,19228.0,16049.0,23691.0,50.319661859348784,11479.0,0.596993967131267,10460.0,0.5439983357603495
00606,6392.0,1946.0,12119.0,4185.0,65.47246558197747,1228.0,0.6310380267214799,1085.0,0.5575539568345323
00610,26686.0,8795.0,19898.0,12204.0,45.73184441280072,8065.0,0.9169982944855031,6800.0,0.7731665719158612
00612,59369.0,22809.0,18741.0,27631.0,46.54112415570415,14665.0,0.6429479591389364,13595.0,0.5960366521986935
00616,10022.0,3449.0,17007.0,4825.0,48.1440830173618,2923.0,0.8474920266743984,2790.0,0.8089301246738185
00617,23750.0,7910.0,16984.0,11392.0,47.96631578947368,6001.0,0.7586599241466498,5600.0,0.7079646017699115
00622,6741.0,2067.0,14615.0,3255.0,48.28660436137071,1385.0,0.6700532172230286,1385.0,0.6700532172230286
00623,41746.0,13406.0,17130.0,21413.0,51.29353710535141,10428.0,0.777860659406236,9960.0,0.742950917499627
00624,21936.0,7411.0,16701.0,12337.0,56.240882567469,5455.0,0.7360680070165969,4845.0,0.6537579274052084
00627,31598.0,11394.0,17000.0,15741.0,49.81644407873916,8539.0,0.7494295243110409,8115.0,0.7122169562927857
00631,1499.0,629.0,10244.0,1054.0,70.31354236157438,343.0,0.5453100158982512,345.0,0.548489666136725
00637,22383.0,7033.0,17405.0,10251.0,45.79815038198633,6105.0,0.8680506185127257,5455.0,0.7756291767382341
00638,16412.0,5899.0,16843.0,8927.0,54.393126980258344,3508.0,0.5946770639091371,3110.0,0.5272080013561621
00641,26712.0,8945.0,15792.0,13881.0,51.965408805031444,5429.0,0.6069312465064282,4975.0,0.5561766349916154
